# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 如果有多个本地源文件，可以在config目录下创建local目录进行存放，支持txt/m3u文件格式
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
# If there are multiple local source files, you can create a local directory under the config directory for storage, supporting txt/m3u file formats
----家庭源-不更新,#genre#
央视,#genre#
CCTV1,http://ott.mobaibox.com/PLTV/4/224/3221228581/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221228094/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228499/index.m3u8
CCTV4,http://ott.mobaibox.com/PLTV/3/224/3221228091/index.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221228502/index.m3u8
CCTV5+,http://ott.mobaibox.com/PLTV/3/224/3221228176/index.m3u8
CCTV6,http://ott.mobaibox.com/PLTV/3/224/3221228516/index.m3u8
CCTV7,http://ott.mobaibox.com/PLTV/3/224/3221227626/index.m3u8
CCTV8,http://ott.mobaibox.com/PLTV/3/224/3221228578/index.m3u8
CCTV9,http://ott.mobaibox.com/PLTV/3/224/3221227614/index.m3u8
CCTV10,http://ott.mobaibox.com/PLTV/3/224/3221227620/index.m3u8
CCTV11,http://ott.mobaibox.com/PLTV/3/224/3221227720/index.m3u8
CCTV12,http://ott.mobaibox.com/PLTV/3/224/3221227637/index.m3u8
CCTV13,http://ott.mobaibox.com/PLTV/3/224/3221228224/index.m3u8
CCTV14,http://ott.mobaibox.com/PLTV/3/224/3221227693/index.m3u8
CCTV15,http://ott.mobaibox.com/PLTV/3/224/3221227723/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8
CCTV17,http://ott.mobaibox.com/PLTV/3/224/3221227592/index.m3u8
CCTV-1综合,http://223.95.198.3:8000/hls/1/index.m3u8
CCTV-2财经,http://223.95.198.3:8000/hls/2/index.m3u8
CCTV-3综艺,http://223.95.198.3:8000/hls/3/index.m3u8
CCTV-4中文国际,http://223.95.198.3:8000/hls/4/index.m3u8
CCTV-5体育,http://223.95.198.3:8000/hls/5/index.m3u8
CCTV-6电影,http://223.95.198.3:8000/hls/6/index.m3u8
CCTV-7国防军事,http://223.95.198.3:8000/hls/7/index.m3u8
CCTV-8电视剧,http://223.95.198.3:8000/hls/8/index.m3u8
CCTV-9纪录,http://223.95.198.3:8000/hls/9/index.m3u8
CCTV-10科教,http://223.95.198.3:8000/hls/10/index.m3u8
CCTV-11戏曲,http://223.95.198.3:8000/hls/11/index.m3u8
CCTV-12社会与法,http://223.95.198.3:8000/hls/12/index.m3u8
CCTV-13新闻,http://223.95.198.3:8000/hls/13/index.m3u8
CCTV-14少儿,http://223.95.198.3:8000/hls/14/index.m3u8
CCTV-15音乐,http://223.95.198.3:8000/hls/15/index.m3u8
CCTV-16奥林匹克,http://223.95.198.3:8000/hls/16/index.m3u8
CCTV-17农业农村,http://223.95.198.3:8000/hls/17/index.m3u8
CCTV-4K超高清,http://223.95.198.3:8000/hls/18/index.m3u8
CCTV-4K超高清,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV-1综合,http://183.129.255.66:8480/hls/1/index.m3u8
CCTV-2财经,http://183.129.255.66:8480/hls/2/index.m3u8
CCTV-3综艺,http://183.129.255.66:8480/hls/3/index.m3u8
CCTV-4中文国际,http://183.129.255.66:8480/hls/4/index.m3u8
CCTV-5体育,http://183.129.255.66:8480/hls/5/index.m3u8
CCTV-5+体育赛事,http://183.129.255.66:8480/hls/6/index.m3u8
CCTV-6电影,http://183.129.255.66:8480/hls/7/index.m3u8
CCTV-7国防军事,http://183.129.255.66:8480/hls/8/index.m3u8
CCTV-8电视剧,http://183.129.255.66:8480/hls/9/index.m3u8
CCTV-9纪录,http://183.129.255.66:8480/hls/10/index.m3u8
CCTV-10科教,http://183.129.255.66:8480/hls/11/index.m3u8
CCTV-11戏曲,http://183.129.255.66:8480/hls/12/index.m3u8
CCTV-12社会与法,http://183.129.255.66:8480/hls/13/index.m3u8
CCTV-13新闻,http://183.129.255.66:8480/hls/14/index.m3u8
CCTV-14少儿,http://183.129.255.66:8480/hls/15/index.m3u8
CCTV-15音乐,http://183.129.255.66:8480/hls/16/index.m3u8
CCTV-16奥林匹克,http://183.129.255.66:8480/hls/17/index.m3u8
CCTV-17农业农村,http://183.129.255.66:8480/hls/18/index.m3u8
中央一套移动,http://39.165.39.49:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
中央二套移动,http://39.165.39.49:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
中央三套移动,http://39.165.39.49:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
中央四套移动,http://39.165.39.49:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
中央五套移动,http://39.165.39.49:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
中央六套移动,http://39.165.39.49:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
中央七套移动,http://39.165.39.49:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
中央八套移动,http://39.165.39.49:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
中央九套移动,http://39.165.39.49:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
中央十套移动,http://39.165.39.49:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
中央十一套移动,http://39.165.39.49:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
中央十二套移动,http://39.165.39.49:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
中央十三套移动,http://39.165.39.49:85/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
中央十四套移动,http://39.165.39.49:85/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
中央十五套移动,http://39.165.39.49:85/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
中央十七套移动,http://39.165.39.49:85/tsfile/live/1088_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+移动,http://39.165.39.49:85/tsfile/live/1089_1.m3u8?key=txiptv&playlive=1&authid=0
中央一套移动,http://39.165.39.49:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
中央七套移动,http://39.165.39.49:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
中央三套移动,http://39.165.39.49:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
中央九套移动,http://39.165.39.49:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
中央二套移动,http://39.165.39.49:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
中央五套移动,http://39.165.39.49:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
中央八套移动,http://39.165.39.49:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
中央六套移动,http://39.165.39.49:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
中央十一套移动,http://39.165.39.49:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
中央十七套移动,http://39.165.39.49:85/tsfile/live/1088_1.m3u8?key=txiptv&playlive=1&authid=0
中央十三套移动,http://39.165.39.49:85/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
中央十二套移动,http://39.165.39.49:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
中央十五套移动,http://39.165.39.49:85/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
中央十四套移动,http://39.165.39.49:85/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
中央十套移动,http://39.165.39.49:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
中央四套移动,http://39.165.39.49:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1[1920x1080],http://183.185.151.17:9003/hls/1/index.m3u8
CCTV-1[720x576],http://113.140.71.86:60001/hls/1/index.m3u8
CCTV10[1920x1080],http://183.185.151.17:9003/hls/11/index.m3u8
CCTV10[720x576],http://113.140.71.86:60001/hls/10/index.m3u8
CCTV11[720x576],http://113.140.71.86:60001/hls/11/index.m3u8
CCTV12[1920x1080],http://183.185.151.17:9003/hls/13/index.m3u8
CCTV12[720x576],http://113.140.71.86:60001/hls/12/index.m3u8
CCTV13[1920x1080],http://183.185.151.17:9003/hls/14/index.m3u8
CCTV13[720x576],http://113.140.71.86:60001/hls/13/index.m3u8
CCTV14[1920x1080],http://183.185.151.17:9003/hls/15/index.m3u8
CCTV14[720x576],http://113.140.71.86:60001/hls/14/index.m3u8
CCTV15[720x576],http://113.140.71.86:60001/hls/15/index.m3u8
CCTV15[720x576],http://183.185.151.17:9003/hls/16/index.m3u8
CCTV16[1920x1080],http://183.185.151.17:9003/hls/17/index.m3u8
CCTV17[1920x1080],http://183.185.151.17:9003/hls/18/index.m3u8
CCTV-2[720x576],http://113.140.71.86:60001/hls/2/index.m3u8
CCTV3[1920x1080],http://183.185.151.17:9003/hls/3/index.m3u8
CCTV3[720x576],http://113.140.71.86:60001/hls/3/index.m3u8
CCTV4[720x576],http://113.140.71.86:60001/hls/4/index.m3u8
CCTV5[1920x1080],http://183.185.151.17:9003/hls/5/index.m3u8
CCTV5[720x576],http://113.140.71.86:60001/hls/5/index.m3u8
CCTV6[1920x1080],http://183.185.151.17:9003/hls/7/index.m3u8
CCTV6[720x576],http://113.140.71.86:60001/hls/6/index.m3u8
CCTV7[720x576],http://113.140.71.86:60001/hls/7/index.m3u8
CCTV8[1920x1080],http://183.185.151.17:9003/hls/9/index.m3u8
CCTV8[720x576],http://113.140.71.86:60001/hls/8/index.m3u8
CCTV9[1920x1080],http://183.185.151.17:9003/hls/10/index.m3u8
CCTV9[720x576],http://113.140.71.86:60001/hls/9/index.m3u8
CCTV-10[720x576],http://125.108.127.145:7778/udp/233.50.201.10:5140
CCTV-10高清[1920x1080],http://125.108.127.145:7778/udp/233.50.200.22:5140
CCTV-10高清[1920x1080],http://125.108.127.145:7778/udp/233.50.201.122:5140
CCTV-10科教[1920x1080],http://121.29.90.89:7077/rtp/239.253.92.196:6061
CCTV-11高清[720x576],http://125.108.127.145:7778/udp/233.50.201.11:5140
CCTV-11戏曲[1920x1080],http://121.29.90.89:7077/rtp/239.253.93.153:6321
CCTV12SD[720x576],http://27.8.239.80:8001/udp/225.0.4.8:7980
CCTV-12高清[1920x1080],http://125.108.127.145:7778/udp/233.50.200.21:5140
CCTV-12高清[1920x1080],http://125.108.127.145:7778/udp/233.50.201.123:5140
CCTV-12社会与法[1920x1080],http://121.29.90.89:7077/rtp/239.253.92.197:6062
CCTV-13[720x576],http://125.108.127.145:7778/udp/233.50.201.13:5140
CCTV-13高清[1920x1080],http://125.108.127.145:7778/udp/233.50.200.111:5140
CCTV-13高清[1920x1080],http://125.108.127.145:7778/udp/233.50.201.246:5140
CCTV-13新闻[1920x1080],http://121.29.90.89:7077/rtp/239.253.92.13:8008
CCTV14SD[720x576],http://27.8.239.80:8001/udp/225.0.4.10:7980
CCTV-14高清[1920x1080],http://125.108.127.145:7778/udp/233.50.200.103:5140
CCTV-14高清[1920x1080],http://125.108.127.145:7778/udp/233.50.200.20:5140
CCTV-14高清[1920x1080],http://125.108.127.145:7778/udp/233.50.201.124:5140
