分类: 央视, 名称: CCTV1, 有效: 3, IPv4: 464, IPv6: 0, 最小延迟: 396 ms, 最高速率: 2.60 M/s, 平均速率: 2.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CCTV2, 有效: 3, IPv4: 387, IPv6: 0, 最小延迟: 484 ms, 最高速率: 5.87 M/s, 平均速率: 3.73 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CCTV3, 有效: 3, IPv4: 372, IPv6: 0, 最小延迟: 247 ms, 最高速率: 5.07 M/s, 平均速率: 4.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CCTV5, 有效: 3, IPv4: 384, IPv6: 0, 最小延迟: 833 ms, 最高速率: 5.15 M/s, 平均速率: 3.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CCTV5+, 有效: 3, IPv4: 305, IPv6: 0, 最小延迟: 334 ms, 最高速率: 9.61 M/s, 平均速率: 5.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CCTV4, 有效: 3, IPv4: 395, IPv6: 0, 最小延迟: 570 ms, 最高速率: 6.98 M/s, 平均速率: 3.47 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CCTV6, 有效: 3, IPv4: 368, IPv6: 0, 最小延迟: 521 ms, 最高速率: 3.53 M/s, 平均速率: 2.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CCTV7, 有效: 3, IPv4: 365, IPv6: 0, 最小延迟: 502 ms, 最高速率: 6.87 M/s, 平均速率: 3.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CCTV9, 有效: 3, IPv4: 368, IPv6: 0, 最小延迟: 914 ms, 最高速率: 4.32 M/s, 平均速率: 3.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CCTV10, 有效: 3, IPv4: 371, IPv6: 0, 最小延迟: 289 ms, 最高速率: 5.54 M/s, 平均速率: 4.56 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CCTV11, 有效: 3, IPv4: 345, IPv6: 0, 最小延迟: 354 ms, 最高速率: 7.43 M/s, 平均速率: 5.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CCTV12, 有效: 3, IPv4: 361, IPv6: 0, 最小延迟: 292 ms, 最高速率: 8.73 M/s, 平均速率: 5.69 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
